rendement,apport_perc,loyer_mensuel,cash_flow_annuel,doit_payer_impot,revenus_annuel,couts_annuel,taux_occupation,cash_a_sortir
0.035,0.1,487.1496,-3561.4688184000006,False,5845.7952000000005,9407.264018400001,1.0,37422.72
0.035,0.1,487.1496,-1999.9328183999996,False,5845.7952000000005,7845.7280184,1.0,37422.72
0.045,0.1,626.3352,-2180.6084807999996,False,7516.0224,9696.6308808,1.0,37422.72
0.045,0.1,626.3352,-619.0724808000004,False,7516.0224,8135.0948808,1.0,37422.72
0.05,0.1,695.928,-1490.178312,False,8351.136,9841.314312,1.0,37422.72
0.05,0.1,695.928,71.35768800000005,False,8351.136,8279.778312,1.0,37422.72
0.055,0.1,765.5208000000001,-799.7481432000004,False,9186.249600000001,9985.997743200001,1.0,37422.72
0.055,0.1,765.5208000000001,761.7878567999996,False,9186.249600000001,8424.461743200001,1.0,37422.72
0.06,0.1,835.1136,-109.31797440000082,False,10021.3632,10130.6811744,1.0,37422.72
0.06,0.1,835.1136,1452.2180255999992,False,10021.3632,8569.1451744,1.0,37422.72
0.065,0.1,904.7064,581.1121944000006,False,10856.4768,10275.3646056,1.0,37422.72
0.065,0.1,904.7064,2142.6481944000006,False,10856.4768,8713.8286056,1.0,37422.72
0.07,0.1,974.2992,1271.5423632000002,False,11691.590400000001,10420.0480368,1.0,37422.72
0.07,0.1,974.2992,2833.0783632000002,False,11691.590400000001,8858.5120368,1.0,37422.72
0.035,0.1,365.36220000000003,-4769.7216138,False,4384.3464,9154.0680138,0.75,37422.72
0.035,0.1,365.36220000000003,-3208.1856137999994,False,4384.3464,7592.5320138,0.75,37422.72
0.045,0.1,469.75140000000005,-3734.076360600001,False,5637.0168,9371.093160600001,0.75,37422.72
0.045,0.1,469.75140000000005,-2172.5403606,False,5637.0168,7809.5571606,0.75,37422.72
0.05,0.1,521.946,-3216.253734,False,6263.352000000001,9479.605734,0.75,37422.72
0.05,0.1,521.946,-1654.7177339999998,False,6263.352000000001,7918.069734000001,0.75,37422.72
0.055,0.1,574.1406000000001,-2698.4311073999997,False,6889.6872,9588.1183074,0.75,37422.72
0.055,0.1,574.1406000000001,-1136.8951074000006,False,6889.6872,8026.582307400001,0.75,37422.72
0.06,0.1,626.3352,-2180.6084807999996,False,7516.0224,9696.6308808,0.75,37422.72
0.06,0.1,626.3352,-619.0724808000004,False,7516.0224,8135.0948808,0.75,37422.72
0.065,0.1,678.5298000000001,-1662.7858541999994,False,8142.357600000001,9805.1434542,0.75,37422.72
0.065,0.1,678.5298000000001,-101.24985419999939,False,8142.357600000001,8243.6074542,0.75,37422.72
0.07,0.1,730.7244000000001,-1144.9632275999993,False,8768.6928,9913.6560276,0.75,37422.72
